 time            v(sh)           v(pre)          v(rst)          v(sen)          v(d)            v(CompOut)      v(AOut)         v(STO+_RCL-)    v(sto-_rcl+)    v(c+)           v(c-)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999950e+00  4.00845012e-03  2.48494660e-07  2.48494675e-07  1.48730776e+00  9.00900263e-01 
 1.00000000e-09  0.00000000e+00  1.80000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999951e+00  4.00848795e-03  2.53298544e-07  2.53253388e-07  1.48731216e+00  9.00904670e-01 
 2.00000000e-09  0.00000000e+00  3.60000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999951e+00  4.00853189e-03  2.53777833e-07  2.53700873e-07  1.48731656e+00  9.00909075e-01 
 4.00000000e-09  0.00000000e+00  7.20000000e-02  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999952e+00  4.00862110e-03  2.54031318e-07  2.53888366e-07  1.48732536e+00  9.00917884e-01 
 8.00000000e-09  0.00000000e+00  1.44000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999952e+00  4.00879724e-03  2.54155800e-07  2.53909557e-07  1.48734296e+00  9.00935503e-01 
 1.60000000e-08  0.00000000e+00  2.88000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999952e+00  4.00914901e-03  2.54304174e-07  2.53962810e-07  1.48737815e+00  9.00970751e-01 
 3.20000000e-08  0.00000000e+00  5.76000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999952e+00  4.00985529e-03  2.54269214e-07  2.53878533e-07  1.48744835e+00  9.01041227e-01 
 6.40000000e-08  0.00000000e+00  1.15200000e+00  0.00000000e+00  0.00000000e+00  1.80002601e+00  1.80004791e+00  5.56999652e-03  1.08879630e-05  7.39634813e-06  1.74739369e+00  8.80164463e-01 
 9.44866991e-08  0.00000000e+00  1.70076058e+00  0.00000000e+00  0.00000000e+00  1.79993668e+00  1.79995393e+00  5.68286633e-03 -2.07391574e-05 -2.05413993e-05  1.83293286e+00  5.37566274e-01 
 1.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995258e+00  1.80002600e+00  5.65392391e-03  1.89462719e-06  3.65838407e-07  1.80188189e+00  4.93318893e-01 
 1.02025171e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995866e+00  1.80000755e+00  5.66461371e-03  9.51489373e-07 -1.49390580e-07  1.80113953e+00  4.97373813e-01 
 1.06075513e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79997134e+00  1.79999794e+00  5.66176495e-03  3.81560996e-08 -8.95666581e-07  1.80024065e+00  5.00562489e-01 
 1.14176197e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79998928e+00  1.80000226e+00  5.64600059e-03  3.61928885e-07  8.21626146e-08  1.79996823e+00  4.99713806e-01 
 1.30377565e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000161e+00  1.79999657e+00  5.64702132e-03  1.01348448e-07  2.50470465e-07  1.80001365e+00  5.00206630e-01 
 1.60870298e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999766e+00  1.80000210e+00  5.64718598e-03  3.47475796e-07  3.54257086e-07  1.79999041e+00  4.99826486e-01 
 2.21855763e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000206e+00  1.79999671e+00  5.64648220e-03  1.51411600e-07  2.88770496e-07  1.80000720e+00  5.00159487e-01 
 3.43826693e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999791e+00  1.80000203e+00  5.64735295e-03  3.31095185e-07  3.18350947e-07  1.79999285e+00  4.99846050e-01 
 4.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000184e+00  1.79999681e+00  5.64642352e-03  1.66605134e-07  2.68396973e-07  1.80000512e+00  5.00139018e-01 
 4.10000000e-07  0.00000000e+00  1.62000000e+00  0.00000000e+00  0.00000000e+00  1.80000009e+00  1.79999927e+00  5.64690305e-03  2.31593174e-07  2.82038658e-07  1.79999051e+00  5.00001511e-01 
 4.30000000e-07  0.00000000e+00  1.26000000e+00  0.00000000e+00  0.00000000e+00  1.79999980e+00  1.79999949e+00  5.64697558e-03  2.40502031e-07  2.76944032e-07  1.79998376e+00  4.99795098e-01 
 4.70000000e-07  0.00000000e+00  5.40000000e-01  0.00000000e+00  0.00000000e+00  1.79999999e+00  1.79999927e+00  5.64784789e-03  2.67009314e-07  3.06430799e-07  1.80072833e+00  4.99770331e-01 
 5.00000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999989e+00  1.79999949e+00  5.64775883e-03  2.09498410e-07  2.43258294e-07  1.80059351e+00  4.99641451e-01 
 5.04238897e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999990e+00  1.79999939e+00  5.64772663e-03  2.42767566e-07  2.76512601e-07  1.80059291e+00  4.99641780e-01 
 5.12716691e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999993e+00  1.79999937e+00  5.64771671e-03  2.43776953e-07  2.77518645e-07  1.80059197e+00  4.99642655e-01 
 5.29672279e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999994e+00  1.79999939e+00  5.64771855e-03  2.43151775e-07  2.75845039e-07  1.80059009e+00  4.99644388e-01 
 5.63583454e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999937e+00  5.64770272e-03  2.44670594e-07  2.75508370e-07  1.80058633e+00  4.99647856e-01 
 6.31405805e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999939e+00  5.64770923e-03  2.43292569e-07  2.69379186e-07  1.80057881e+00  4.99654791e-01 
 7.67050507e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999937e+00  5.64768125e-03  2.44846312e-07  2.64131225e-07  1.80056378e+00  4.99668656e-01 
 1.03833991e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999939e+00  5.64765843e-03  2.43597460e-07  2.53989256e-07  1.80053372e+00  4.99696366e-01 
 1.53833991e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999937e+00  5.64757007e-03  2.45359377e-07  2.49327173e-07  1.80047834e+00  4.99747368e-01 
 2.00000000e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999939e+00  5.64750869e-03  2.44148953e-07  2.46515354e-07  1.80042723e+00  4.99794383e-01 
 2.00010000e-06  1.80000000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999938e+00  5.64754689e-03  3.86235812e-07  3.86598297e-07  1.80047168e+00  4.99838865e-01 
 2.00030000e-06  5.40000000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000001e+00  1.79999936e+00  5.64769924e-03  5.17322483e-07  5.07226283e-07  1.80056014e+00  4.99927529e-01 
 2.00070000e-06  1.26000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79998482e+00  1.80000326e+00  5.59355516e-03 -2.43419579e-05  2.29897143e-05  1.76789677e+00  5.31805986e-01 
 2.00100000e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79994714e+00  1.79999846e+00  5.41723117e-03 -5.19881265e-05  5.54804608e-05  1.70347766e+00  5.96856047e-01 
 2.00104475e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79993903e+00  1.79999407e+00  5.37495174e-03 -5.41305296e-05  5.73669352e-05  1.69195364e+00  6.08407890e-01 
 2.00113426e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79992279e+00  1.79997892e+00  5.29284147e-03 -5.63750644e-05  5.95024253e-05  1.66977393e+00  6.30619609e-01 
 2.00131327e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79989187e+00  1.79990582e+00  5.15376179e-03 -5.50717638e-05  5.86774372e-05  1.63015922e+00  6.70285837e-01 
 2.00167129e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79983983e+00  1.79966059e+00  4.87731145e-03 -4.99203449e-05  5.04124379e-05  1.56587771e+00  7.34652633e-01 
 2.00238733e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79979661e+00  1.79941097e+00  4.14376403e-03 -4.33662548e-05  5.60160363e-05  1.47586122e+00  8.24816132e-01 
 2.00381940e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79975824e+00  1.79987022e+00  3.24352647e-03 -3.48966469e-05  5.83341186e-05  1.36936185e+00  9.31516973e-01 
 2.00610475e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79969494e+00  1.80008941e+00  3.06444090e-03 -1.20939361e-05  7.93773157e-06  1.27883704e+00  1.02219030e+00 
 2.00948668e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79992762e+00  1.79991950e+00  3.00408476e-03  2.03329344e-06  1.25447338e-05  1.21151117e+00  1.08960169e+00 
 2.01519995e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79988418e+00  1.80004329e+00  3.03215072e-03 -1.28941649e-06 -9.25142815e-06  1.16696082e+00  1.13418432e+00 
 2.02459486e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80003563e+00  1.79995869e+00  3.07786757e-03 -8.38894092e-07  1.05927077e-05  1.15123361e+00  1.14993251e+00 
 2.03890720e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79990262e+00  1.80004063e+00  3.04447155e-03  5.04197361e-08 -1.00401603e-05  1.15048405e+00  1.15068965e+00 
 2.06318590e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80004651e+00  1.79995896e+00  3.06397500e-03 -5.04656784e-07  1.05376848e-05  1.15063477e+00  1.15054943e+00 
 2.11174329e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79992227e+00  1.80004015e+00  3.04964123e-03  3.73589866e-07 -1.00204749e-05  1.15056969e+00  1.15062279e+00 
 2.20885808e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80005794e+00  1.79995923e+00  3.06094022e-03 -2.26943552e-07  1.05128942e-05  1.15062533e+00  1.15058128e+00 
 2.40308765e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79993183e+00  1.80003998e+00  3.05057259e-03  5.35493031e-07 -1.00113419e-05  1.15059002e+00  1.15062866e+00 
 2.79154679e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80006246e+00  1.79995932e+00  3.06024822e-03 -1.31397952e-07  1.05068075e-05  1.15063848e+00  1.15060125e+00 
 3.29154679e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79993464e+00  1.80003992e+00  3.05084693e-03  5.77894205e-07 -1.00081722e-05  1.15061052e+00  1.15064568e+00 
 3.79154679e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80006323e+00  1.79995937e+00  3.05994472e-03 -1.12698535e-07  1.05038925e-05  1.15065463e+00  1.15062044e+00 
 3.99900000e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79993531e+00  1.80003983e+00  3.05131103e-03  5.83330003e-07 -1.00031999e-05  1.15062449e+00  1.15065490e+00 
 3.99910000e-06  1.62000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79997057e+00  1.80002135e+00  3.05073065e-03  2.26706783e-07 -4.53835976e-06  1.15056822e+00  1.15059843e+00 
 3.99930000e-06  1.26000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000345e+00  1.80000245e+00  3.04969553e-03 -1.54874784e-09  1.41858749e-06  1.15047737e+00  1.15050675e+00 
 3.99970000e-06  5.40000000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999882e+00  1.80000161e+00  3.04931310e-03  7.36354284e-07  1.02593921e-06  1.15065710e+00  1.15068547e+00 
 4.00000000e-06  6.27276009e-13  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999990e+00  1.79999914e+00  3.05040758e-03 -1.98551107e-07  3.22298095e-08  1.15053667e+00  1.15056497e+00 
 4.00005226e-06  0.00000000e+00  0.00000000e+00  9.40605279e-02  0.00000000e+00  1.80000111e+00  1.79999903e+00  3.13257497e-03 -3.16859865e-08  2.41869023e-07  1.15053439e+00  1.15056268e+00 
 4.00015677e-06  0.00000000e+00  0.00000000e+00  2.82181584e-01  0.00000000e+00  1.80000243e+00  1.79999848e+00  3.29474346e-03  1.82746226e-07  4.22457588e-07  1.15053382e+00  1.15056208e+00 
